,movie,year,genre,cast
669,Bom yeoreum gaeul gyeoul geurigo bom,2003,"Drama, Romance","Ki-duk Kim, Yeong-su Oh, Jong-ho Kim, Young-min Kim, "
670,Short Term 12,2013,Drama,"Brie Larson, Frantz Turner, John Gallagher Jr., Kaitlyn Dever, "
671,Sing Street,2016,"Comedy, Drama, Music","Ferdia Walsh-Peelo, Aidan Gillen, Maria Doyle Kennedy, Jack Reynor, "
672,The Color Purple,1985,Drama,"Danny Glover, Whoopi Goldberg, Oprah Winfrey, Margaret Avery, "
673,The Hustler,1961,"Drama, Sport","Paul Newman, Jackie Gleason, Piper Laurie, George C. Scott, "
674,"Paris, Texas",1984,Drama,"Harry Dean Stanton, Nastassja Kinski, Dean Stockwell, Aurore Clément, "
675,La grande bellezza,2013,Drama,"Toni Servillo, Carlo Verdone, Sabrina Ferilli, Carlo Buccirosso, "
676,Phantom Thread,2017,"Drama, Romance","Vicky Krieps, Daniel Day-Lewis, Lesley Manville, Julie Vollono, "
677,The Sandlot,1993,"Comedy, Drama, Family","Tom Guiry, Mike Vitar, Art LaFleur, Patrick Renna, "
678,The General,1926,"Action, Adventure, Comedy","Buster Keaton, Buster Keaton, Marion Mack, Glen Cavender, "
679,Huo yuanjia,2006,"Action, Biography, Drama","Jet Li, Li Sun, Yong Dong, Yun Qu, "
680,Pink Floyd: The Wall,1982,"Animation, Drama, Fantasy","Bob Geldof, Christine Hargreaves, James Laurenson, Eleanor David, "
681,Isle of Dogs,2018,"Animation, Adventure, Comedy","Bryan Cranston, Koyu Rankin, Edward Norton, Bob Balaban, "
682,Un long dimanche de fiançailles,2004,"Drama, Mystery, Romance","Audrey Tautou, Gaspard Ulliel, Jodie Foster, Dominique Pinon, "
683,Detachment,2011,Drama,"Adrien Brody, Christina Hendricks, Marcia Gay Harden, Lucy Liu, "
684,Zwartboek,2006,"Drama, Thriller, War","Carice van Houten, Sebastian Koch, Thom Hoffman, Halina Reijn, "
685,The Manchurian Candidate,1962,"Drama, Thriller","Frank Sinatra, Laurence Harvey, Janet Leigh, Angela Lansbury, "
686,Solaris,1971,"Drama, Mystery, Sci-Fi","Natalya Bondarchuk, Donatas Banionis, Jüri Järvet, Vladislav Dvorzhetskiy, "
687,Barfi!,2012,"Comedy, Drama, Romance","Ranbir Kapoor, Priyanka Chopra, Ileana D'Cruz, Saurabh Shukla, "
688,Ah-ga-ssi,2016,"Crime, Drama, Mystery","Min-hee Kim, Jung-woo Ha, Jin-Woong Cho, So-Ri Moon, "
689,Kari-gurashi no Arietti,2010,"Animation, Adventure, Family","Bridgit Mendler, Amy Poehler, Will Arnett, Moises Arias, "
690,A Wednesday,2008,"Crime, Drama, Mystery","Anupam Kher, Naseeruddin Shah, Jimmy Sheirgill, Deepal Shaw, "
691,The African Queen,1951,"Adventure, Drama, Romance","Humphrey Bogart, Katharine Hepburn, Robert Morley, Peter Bull, "
692,Gangs of Wasseypur,2012,"Action, Comedy, Crime","Manoj Bajpayee, Richa Chadha, Nawazuddin Siddiqui, Tigmanshu Dhulia, "
693,The King of Comedy,1982,"Comedy, Crime, Drama","Robert De Niro, Jerry Lewis, Diahnne Abbott, Sandra Bernhard, "
694,Contratiempo,2016,"Crime, Mystery, Thriller","Mario Casas, Ana Wagener, Jose Coronado, Bárbara Lennie, "
695,Harold and Maude,1971,"Comedy, Drama, Romance","Ruth Gordon, Bud Cort, Vivian Pickles, Cyril Cusack, "
696,Chak De! India,2007,"Drama, Family, Sport","Shah Rukh Khan, Vidya Malvade, Sagarika Ghatge, Shilpa Shukla, "
697,The Station Agent,2003,"Comedy, Drama","Peter Dinklage, Patricia Clarkson, Bobby Cannavale, Paul Benjamin, "
698,Midnight Express,1978,"Biography, Crime, Drama","Brad Davis, Irene Miracle, Bo Hopkins, Paolo Bonacelli, "
699,Who's Afraid of Virginia Woolf?,1966,Drama,"Elizabeth Taylor, Richard Burton, George Segal, Sandy Dennis, "
700,Doctor Zhivago,1965,"Drama, Romance, War","Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger, "
701,Chinjeolhan geumjassi,2005,"Crime, Drama, Thriller","Yeong-ae Lee, Min-sik Choi, Shi-hoo Kim, Yea-young Kwon, "
702,Jeux d'enfants,2003,"Comedy, Drama, Romance","Guillaume Canet, Marion Cotillard, Thibault Verhaeghe, Joséphine Lebas-Joly, "
703,Midnight Run,1988,"Action, Comedy, Crime","Robert De Niro, Charles Grodin, Yaphet Kotto, John Ashton, "
704,Mysterious Skin,2004,"Drama, Mystery, Thriller","Brady Corbet, Joseph Gordon-Levitt, Elisabeth Shue, Chase Ellison, "
705,MASH,1970,"Comedy, Drama, War","Donald Sutherland, Elliott Gould, Tom Skerritt, Sally Kellerman, "
706,À bout de souffle,1960,"Crime, Drama","Jean-Paul Belmondo, Jean Seberg, Daniel Boulanger, Henri-Jacques Huet, "
707,Happiness,1998,"Comedy, Drama","Jane Adams, Jon Lovitz, Philip Seymour Hoffman, Dylan Baker, "
708,Munna Bhai M.B.B.S.,2003,"Comedy, Drama, Musical","Sanjay Dutt, Arshad Warsi, Gracy Singh, Sunil Dutt, "
709,Das weiße Band - Eine deutsche Kindergeschichte,2009,"Drama, History, Mystery","Christian Friedel, Ernst Jacobi, Leonie Benesch, Ulrich Tukur, "
710,House of Sand and Fog,2003,"Crime, Drama","Jennifer Connelly, Ben Kingsley, Ron Eldard, Frances Fisher, "
711,Babam ve Oglum,2005,Drama,"Çetin Tekindor, Fikret Kuskan, Hümeyra, Ege Tanman, "
712,The Man Who Shot Liberty Valance,1962,"Drama, Western","James Stewart, John Wayne, Vera Miles, Lee Marvin, "
713,La cité des enfants perdus,1995,"Fantasy, Sci-Fi","Jean-Pierre Jeunet, Ron Perlman, Daniel Emilfork, Judith Vittet, "
714,Arsenic and Old Lace,1944,"Comedy, Crime, Thriller","Cary Grant, Priscilla Lane, Raymond Massey, Jack Carson, "
715,Hannah and Her Sisters,1986,"Comedy, Drama","Mia Farrow, Dianne Wiest, Michael Caine, Barbara Hershey, "
716,Baahubali 2: The Conclusion,2017,"Action, Drama, Fantasy","Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, "
717,The Dirty Dozen,1967,"Action, Adventure, War","Lee Marvin, Ernest Borgnine, Charles Bronson, John Cassavetes, "
718,Bajrangi Bhaijaan,2015,"Action, Comedy, Drama","Salman Khan, Harshaali Malhotra, Nawazuddin Siddiqui, Kareena Kapoor, "
719,Fried Green Tomatoes,1991,Drama,"Kathy Bates, Jessica Tandy, Mary Stuart Masterson, Mary-Louise Parker, "
720,Hunger,2008,"Biography, Drama","Stuart Graham, Laine Megaw, Brian Milligan, Liam McMahon, "
721,Beasts of No Nation,2015,"Drama, War","Abraham Attah, Emmanuel Affadzi, Ricky Adelayitor, Andrew Adote, "
722,My Left Foot: The Story of Christy Brown,1989,"Biography, Drama","Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan, "
723,Being There,1979,"Comedy, Drama","Peter Sellers, Shirley MacLaine, Melvyn Douglas, Jack Warden, "
724,Dil Chahta Hai,2001,"Comedy, Drama, Romance","Aamir Khan, Saif Ali Khan, Akshaye Khanna, Preity Zinta, "
725,Abre los ojos,1997,"Drama, Mystery, Romance","Eduardo Noriega, Penélope Cruz, Chete Lera, Fele Martínez, "
726,Dangerous Liaisons,1988,"Drama, Romance","Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz, "
727,Kurenai no buta,1992,"Animation, Adventure, Comedy","Shûichirô Moriyama, Tokiko Katô, Bunshi Katsura Vi, Tsunehiko Kamijô, "
728,Judgment at Nuremberg,1961,"Drama, War","Spencer Tracy, Burt Lancaster, Richard Widmark, Marlene Dietrich, "
729,The Florida Project,2017,Drama,"Brooklynn Prince, Bria Vinaite, Willem Dafoe, Christopher Rivera, "
730,The Outlaw Josey Wales,1976,Western,"Clint Eastwood, Sondra Locke, Chief Dan George, Bill McKinney, "
731,In the Heat of the Night,1967,"Crime, Drama, Mystery","Sidney Poitier, Rod Steiger, Warren Oates, Lee Grant, "
732,Celda 211,2009,"Action, Crime, Drama","Luis Tosar, Alberto Ammann, Antonio Resines, Manuel Morón, "
733,"Love, Simon",2018,"Comedy, Drama, Romance","Nick Robinson, Jennifer Garner, Josh Duhamel, Katherine Langford, "
734,Kaze tachinu,2013,"Animation, Biography, Drama","Hideaki Anno, Hidetoshi Nishijima, Miori Takimoto, Masahiko Nishimura, "
735,Charade,1963,"Comedy, Mystery, Romance","Cary Grant, Audrey Hepburn, Walter Matthau, James Coburn, "
736,Papurika,2006,"Animation, Adventure, Crime","Megumi Hayashibara, Tôru Emori, Katsunosuke Hori, Tôru Furuya, "
737,Jûsan-nin no shikaku,2010,"Action, Adventure, Drama","Kôji Yakusho, Takayuki Yamada, Yûsuke Iseya, Ikki Sawamura, "
738,La dolce vita,1960,"Comedy, Drama","Marcello Mastroianni, Anita Ekberg, Anouk Aimée, Yvonne Furneaux, "
739,The Philadelphia Story,1940,"Comedy, Romance","Cary Grant, Katharine Hepburn, James Stewart, Ruth Hussey, "
740,Control,2007,"Biography, Drama, Music","Sam Riley, Samantha Morton, Craig Parkinson, Alexandra Maria Lara, "
741,Frankenstein,1931,"Drama, Horror, Sci-Fi","Colin Clive, Mae Clarke, Boris Karloff, John Boles, "
742,The Wicker Man,1973,"Horror, Mystery, Thriller","Edward Woodward, Christopher Lee, Diane Cilento, Britt Ekland, "
743,Badlands,1973,"Crime, Drama","Martin Sheen, Sissy Spacek, Warren Oates, Ramon Bieri, "
744,Waking Life,2001,"Animation, Drama, Fantasy","Ethan Hawke, Trevor Jack Brooks, Lorelei Linklater, Wiley Wiggins, "
745,The Ten Commandments,1956,"Adventure, Drama","Charlton Heston, Yul Brynner, Anne Baxter, Edward G. Robinson, "
746,Zindagi Na Milegi Dobara,2011,"Comedy, Drama","Hrithik Roshan, Farhan Akhtar, Abhay Deol, Katrina Kaif, "
747,Ikiru,1952,Drama,"Takashi Shimura, Nobuo Kaneko, Shin'ichi Himori, Haruo Tanaka, "
748,Dilwale Dulhania Le Jayenge,1995,"Comedy, Drama, Musical","Shah Rukh Khan, Kajol, Amrish Puri, Farida Jalal, "
749,Kal Ho Naa Ho,2003,"Comedy, Drama, Romance","Preity Zinta, Shah Rukh Khan, Saif Ali Khan, Jaya Bhaduri, "
750,Breaking the Waves,1996,Drama,"Emily Watson, Stellan Skarsgård, Katrin Cartlidge, Jean-Marc Barr, "
751,Der Himmel über Berlin,1987,"Drama, Fantasy, Romance","Bruno Ganz, Solveig Dommartin, Otto Sander, Curt Bois, "
752,The Remains of the Day,1993,"Drama, Romance","Anthony Hopkins, Emma Thompson, John Haycraft, Christopher Reeve, "
753,Les diaboliques,1955,"Crime, Drama, Horror","Simone Signoret, Véra Clouzot, Paul Meurisse, Charles Vanel, "
754,Boksuneun naui geot,2002,"Action, Drama, Thriller","Kang-ho Song, Ha-kyun Shin, Doona Bae, Ji-Eun Lim, "
755,Funny Games,1997,"Crime, Drama, Thriller","Susanne Lothar, Ulrich Mühe, Arno Frisch, Frank Giering, "
756,Trois couleurs: Blanc,1994,"Comedy, Drama, Romance","Zbigniew Zamachowski, Julie Delpy, Janusz Gajos, Jerzy Stuhr, "
757,Ajeossi,2010,"Action, Crime, Thriller","Won Bin, Sae-ron Kim, Tae-hoon Kim, Hee-won Kim, "
758,Anatomy of a Murder,1959,"Crime, Drama, Mystery","James Stewart, Lee Remick, Ben Gazzara, Arthur O'Connell, "
759,Queen,2013,"Comedy, Drama","Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Jeffrey Ho, "
760,The Great Debaters,2007,"Biography, Drama, Romance","Denzel Washington, Forest Whitaker, Kimberly Elise, Nate Parker, "
761,All Quiet on the Western Front,1930,"Drama, War","Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy, "
762,Shadow of a Doubt,1943,Thriller,"Teresa Wright, Joseph Cotten, Macdonald Carey, Henry Travers, "
763,Eskiya,1996,"Crime, Drama, Thriller","Sener Sen, Ugur Yücel, Sermin Hürmeriç, Yesim Salkim, "
764,Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport","Farhan Akhtar, Sonam Kapoor, Pavan Malhotra, Art Malik, "
765,La Strada,1954,Drama,"Anthony Quinn, Giulietta Masina, Richard Basehart, Aldo Silvani, "
766,Sabrina,1954,"Comedy, Drama, Romance","Humphrey Bogart, Audrey Hepburn, William Holden, Walter Hampden, "
767,The Best Years of Our Lives,1946,"Drama, Romance, War","Myrna Loy, Dana Andrews, Fredric March, Teresa Wright, "
768,Vals Im Bashir,2008,"Animation, Biography, Drama","Ari Folman, Ron Ben-Yishai, Ronny Dayag, Ori Sivan, "
769,Duck Soup,1933,"Comedy, Musical, War","Groucho Marx, Harpo Marx, Chico Marx, Zeppo Marx, "
770,"4 luni, 3 saptamâni si 2 zile",2007,Drama,"Anamaria Marinca, Laura Vasiliu, Vlad Ivanov, Alexandru Potocean, "
771,Les choristes,2004,"Drama, Music","Gérard Jugnot, François Berléand, Jean-Baptiste Maunier, Kad Merad, "
772,The Right Stuff,1983,"Adventure, Biography, Drama","Sam Shepard, Scott Glenn, Ed Harris, Dennis Quaid, "
773,Fanny och Alexander,1982,Drama,"Bertil Guve, Pernilla Allwin, Kristina Adolphson, Börje Ahlstedt, "
774,La leggenda del pianista sull'oceano,1998,"Drama, Music, Romance","Tim Roth, Pruitt Taylor Vince, Bill Nunn, Clarence Williams III, "
775,Bringing Up Baby,1938,"Comedy, Family, Romance","Katharine Hepburn, Cary Grant, Charles Ruggles, Walter Catlett, "
776,Underground,1995,"Comedy, Drama, War","Predrag 'Miki' Manojlovic, Lazar Ristovski, Mirjana Jokovic, Slavko Stimac, "
777,Chung Hing sam lam,1994,"Crime, Drama, Romance","Brigitte Lin, Takeshi Kaneshiro, Tony Chiu-Wai Leung, Faye Wong, "
778,Kahaani,2012,"Mystery, Thriller","Vidya Balan, Parambrata Chatterjee, Indraneil Sengupta, Nawazuddin Siddiqui, "
779,Drishyam,2015,"Drama, Thriller","Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor, "
780,Rio Bravo,1959,"Action, Drama, Western","John Wayne, Dean Martin, Ricky Nelson, Angie Dickinson, "
781,Harvey,1950,"Comedy, Drama, Fantasy","James Stewart, Wallace Ford, William H. Lynn, Victoria Horne, "
782,Crimes and Misdemeanors,1989,"Comedy, Drama","Martin Landau, Woody Allen, Bill Bernstein, Claire Bloom, "
783,Blowup,1966,"Drama, Mystery, Thriller","David Hemmings, Vanessa Redgrave, Sarah Miles, John Castle, "
784,Toki o kakeru shôjo,2006,"Animation, Adventure, Comedy","Riisa Naka, Takuya Ishida, Mitsutaka Itakura, Ayami Kakiuchi, "
785,Chaplin,1992,"Biography, Comedy, Drama","Robert Downey Jr., Geraldine Chaplin, Paul Rhys, John Thaw, "
786,The World's Fastest Indian,2005,"Biography, Drama, Sport","Anthony Hopkins, Diane Ladd, Iain Rea, Tessa Mitchell, "
787,Night on Earth,1991,"Comedy, Drama","Winona Ryder, Gena Rowlands, Lisanne Falk, Alan Randolph Scott, "
788,The Player,1992,"Comedy, Crime, Drama","Tim Robbins, Greta Scacchi, Fred Ward, Whoopi Goldberg, "
789,The Longest Day,1962,"Action, Drama, History","Andrew Marton, Bernhard Wicki, Gerd Oswald, Darryl F. Zanuck, "
790,Shine,1996,"Biography, Drama, Music","Geoffrey Rush, Armin Mueller-Stahl, Justin Braine, Sonia Todd, "
791,Das Cabinet des Dr. Caligari,1920,"Fantasy, Horror, Mystery","Werner Krauss, Conrad Veidt, Friedrich Feher, Lil Dagover, "
792,After Hours,1985,"Comedy, Crime, Drama","Griffin Dunne, Rosanna Arquette, Verna Bloom, Tommy Chong, "
793,Stalag 17,1953,"Comedy, Drama, War","William Holden, Don Taylor, Otto Preminger, Robert Strauss, "
794,Le Petit Prince,2015,"Animation, Adventure, Drama","Jeff Bridges, Mackenzie Foy, Rachel McAdams, Marion Cotillard, "
795,Bacheha-Ye aseman,1997,"Drama, Family","Mohammad Amir Naji, Amir Farrokh Hashemian, Bahare Seddiqi, Nafise Jafar-Mohammadi, "
796,His Girl Friday,1940,"Comedy, Drama, Romance","Cary Grant, Rosalind Russell, Ralph Bellamy, Gene Lockhart, "
797,Les triplettes de Belleville,2003,"Animation, Comedy, Drama","Michèle Caucheteux, Jean-Claude Donda, Michel Robin, Monica Viegas, "
798,Chugyeogja,2008,"Action, Crime, Thriller","Yoon-Seok Kim, Jung-woo Ha, Yeong-hie Seo, Yoo-Jeong Kim, "
799,G.O.R.A.,2004,"Adventure, Comedy, Sci-Fi","Cem Yilmaz, Rasim Öztekin, Özkan Ugur, Idil Firat, "
800,Bronenosets Potemkin,1925,"Drama, History","Aleksandr Antonov, Vladimir Barskiy, Grigoriy Aleksandrov, Ivan Bobrov, "
801,The Killing Fields,1984,"Biography, Drama, History","Sam Waterston, Haing S. Ngor, John Malkovich, Julian Sands, "
802,Le salaire de la peur,1953,"Adventure, Drama, Thriller","Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli, "
803,Baby,I) (2015,"Action, Thriller","Akshay Kumar, Danny Denzongpa, Rana Daggubati, Tapsee Pannu, "
804,La battaglia di Algeri,1966,"Drama, War","Brahim Hadjadj, Jean Martin, Yacef Saadi, Tommaso Neri, "
805,Gegen die Wand,2004,"Drama, Romance","Birol Ünel, Sibel Kekilli, Güven Kiraç, Zarah Jane McKenzie, "
806,Where Eagles Dare,1968,"Action, Adventure, War","Richard Burton, Clint Eastwood, Mary Ure, Patrick Wymark, "
807,"Crna macka, beli macor",1998,"Comedy, Crime, Romance","Bajram Severdzan, Srdjan 'Zika' Todorovic, Branka Katic, Florijan Ajdini, "
808,Hera Pheri,2000,"Action, Comedy, Crime","Akshay Kumar, Paresh Rawal, Sunil Shetty, Tabu, "
809,Airlift,2016,"Adventure, Drama, History","Akshay Kumar, Nimrat Kaur, Kumud Mishra, Prakash Belawadi, "
810,The 39 Steps,1935,"Mystery, Thriller","Robert Donat, Madeleine Carroll, Lucie Mannheim, Godfrey Tearle, "
811,The Producers,1967,Comedy,"Zero Mostel, Gene Wilder, Estelle Winwood, Renée Taylor, "
812,The Last Temptation of Christ,1988,Drama,"Willem Dafoe, Harvey Keitel, Barbara Hershey, Paul Greco, "
813,Pride,I) (2014,"Biography, Comedy, Drama","Bill Nighy, Imelda Staunton, Dominic West, Paddy Considine, "
814,Dead Man's Shoes,2004,"Crime, Drama, Thriller","Paddy Considine, Gary Stretch, Toby Kebbell, Stuart Wolfenden, "
815,"Aguirre, der Zorn Gottes",1972,"Adventure, Biography, Drama","Klaus Kinski, Ruy Guerra, Helena Rojo, Del Negro, "
816,Sholay,1975,"Action, Adventure, Comedy","Sanjeev Kumar, Dharmendra, Amitabh Bachchan, Amjad Khan, "
817,Nueve reinas,2000,"Crime, Drama, Thriller","Ricardo Darín, Gastón Pauls, Leticia Brédice, María Mercedes Villagra, "
818,Jin ling shi san chai,2011,"Drama, History, Romance","Christian Bale, Ni Ni, Xinyi Zhang, Tianyuan Huang, "
819,Zatôichi,2003,"Action, Comedy, Crime","Takeshi Kitano, Tadanobu Asano, Yui Natsukawa, Michiyo Yasuda, "
820,Haider,2014,"Action, Crime, Drama","Shahid Kapoor, Tabu, Shraddha Kapoor, Kay Kay Menon, "
821,Days of Heaven,1978,"Drama, Romance","Richard Gere, Brooke Adams, Sam Shepard, Linda Manz, "
822,Andaz Apna Apna,1994,"Comedy, Family, Romance","Aamir Khan, Salman Khan, Raveena Tandon, Karisma Kapoor, "
823,Bin-jip,2004,"Crime, Drama, Romance","Seung-Yun Lee, Hee Jae, Hyuk-ho Kwon, Jeong-ho Choi, "
824,Okuribito,2008,"Drama, Music","Masahiro Motoki, Ryôko Hirosue, Tsutomu Yamazaki, Kazuko Yoshiyuki, "
825,What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller","Bette Davis, Joan Crawford, Victor Buono, Wesley Addy, "
826,Le grand bleu,1988,"Adventure, Drama, Sport","Jean-Marc Barr, Jean Reno, Rosanna Arquette, Paul Shenar, "
827,Veer-Zaara,2004,"Drama, Family, Musical","Shah Rukh Khan, Preity Zinta, Rani Mukerji, Kiron Kher, "
828,High Plains Drifter,1973,"Mystery, Western","Clint Eastwood, Verna Bloom, Marianna Hill, Mitchell Ryan, "
829,The Adventures of Robin Hood,1938,"Action, Adventure, Romance","William Keighley, Errol Flynn, Olivia de Havilland, Basil Rathbone, "
830,Special Chabbis,2013,"Crime, Thriller","Akshay Kumar, Anupam Kher, Manoj Bajpayee, Jimmy Sheirgill, "
831,Lat sau san taam,1992,"Action, Crime, Thriller","Yun-Fat Chow, Tony Chiu-Wai Leung, Teresa Mo, Philip Chan, "
832,Dip huet seung hung,1989,"Action, Crime, Drama","Yun-Fat Chow, Danny Lee, Sally Yeh, Kong Chu, "
833,Down by Law,1986,"Comedy, Crime, Drama","Tom Waits, John Lurie, Roberto Benigni, Nicoletta Braschi, "
834,Cabaret,1972,"Drama, Musical","Liza Minnelli, Michael York, Helmut Griem, Joel Grey, "
835,The Purple Rose of Cairo,1985,"Comedy, Fantasy, Romance","Mia Farrow, Jeff Daniels, Danny Aiello, Irving Metzman, "
836,Victoria,II) (2015,"Crime, Drama, Romance","Laia Costa, Frederick Lau, Franz Rogowski, Burak Yigit, "
837,Repulsion,1965,"Drama, Horror, Thriller","Catherine Deneuve, Ian Hendry, John Fraser, Yvonne Furneaux, "
838,Yeopgijeogin geunyeo,2001,"Comedy, Drama, Romance","Tae-Hyun Cha, Ji-hyun Jun, In-mun Kim, Wok-suk Song, "
839,No Man's Land,I) (2001,"Drama, War","Branko Djuric, Rene Bitorajac, Filip Sovagovic, Georges Siatidis, "
840,The Lady Vanishes,1938,"Mystery, Thriller","Margaret Lockwood, Michael Redgrave, Paul Lukas, May Whitty, "
841,Leviafan,2014,"Crime, Drama","Aleksey Serebryakov, Elena Lyadova, Roman Madyanov, Vladimir Vdovichenkov, "
842,Sleuth,1972,"Mystery, Thriller","Laurence Olivier, Michael Caine, Alec Cawthorne, John Matthews, "
843,Sunrise: A Song of Two Humans,1927,"Drama, Romance","George O'Brien, Janet Gaynor, Margaret Livingston, Bodil Rosing, "
844,The Guns of Navarone,1961,"Action, Adventure, Drama","David Niven, Gregory Peck, Anthony Quinn, Anthony Quayle, "
845,OMG: Oh My God!,2012,"Comedy, Drama","Paresh Rawal, Akshay Kumar, Mithun Chakraborty, Om Puri, "
846,Adams æbler,2005,"Comedy, Crime, Drama","Ulrich Thomsen, Mads Mikkelsen, Nicolas Bro, Paprika Steen, "
847,Ordinary People,1980,Drama,"Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton, "
848,Dabba,2013,"Drama, Romance","Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui, Lillete Dubey, "
849,Song of the Sea,2014,"Animation, Adventure, Drama","David Rawle, Brendan Gleeson, Lisa Hannigan, Fionnula Flanagan, "
850,Tôkyô monogatari,1953,Drama,"Chishû Ryû, Chieko Higashiyama, Sô Yamamura, Setsuko Hara, "
851,Byôsoku 5 senchimêtoru,2007,"Animation, Drama, Romance","Kenji Mizuhashi, Yoshimi Kondou, Satomi Hanamura, Ayaka Onoue, "
852,Mommy,I) (2014,Drama,"Anne Dorval, Antoine Olivier Pilon, Suzanne Clément, Patrick Huard, "
853,Die Fälscher,2007,"Crime, Drama, War","Karl Markovics, August Diehl, Devid Striesow, Martin Brambach, "
854,The Muppet Christmas Carol,1992,"Comedy, Drama, Family","Michael Caine, Dave Goelz, Steve Whitmire, Jerry Nelson, "
855,Kelly's Heroes,1970,"Adventure, Comedy, War","Clint Eastwood, Telly Savalas, Don Rickles, Carroll O'Connor, "
856,Jab We Met,2007,"Comedy, Drama, Romance","Shahid Kapoor, Kareena Kapoor, Tarun Arora, Dara Singh, "
857,The Visitor,I) (2007,Drama,"Richard Jenkins, Haaz Sleiman, Danai Gurira, Hiam Abbass, "
858,Forbidden Planet,1956,"Action, Adventure, Sci-Fi","Walter Pidgeon, Anne Francis, Leslie Nielsen, Warren Stevens, "
859,"I, Daniel Blake",2016,Drama,"Dave Johns, Hayley Squires, Sharon Percy, Briana Shann, "
860,Idi i smotri,1985,"Drama, War","Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas, "
861,The Man Who Would Be King,1975,Adventure,"Sean Connery, Michael Caine, Christopher Plummer, Saeed Jaffrey, "
862,Le passé,2013,"Drama, Mystery","Bérénice Bejo, Tahar Rahim, Ali Mosaffa, Pauline Burlet, "
863,Invasion of the Body Snatchers,1956,"Drama, Horror, Sci-Fi","Kevin McCarthy, Dana Wynter, Larry Gates, King Donovan, "
864,Dracula,1931,"Fantasy, Horror","Bela Lugosi, Helen Chandler, David Manners, Dwight Frye, "
865,Pâfekuto burû,1997,"Animation, Horror, Mystery","Junko Iwao, Rica Matsumoto, Shinpachi Tsuji, Masaaki Ôkura, "
866,The Message,1976,"Adventure, Biography, Drama","Anthony Quinn, Irene Papas, Michael Ansara, Johnny Sekka, "
867,Lilja 4-ever,2002,"Crime, Drama","Oksana Akinshina, Artyom Bogucharskiy, Pavel Ponomaryov, Lyubov Agapova, "
868,Jui kuen II,1994,"Action, Comedy","Jackie Chan, Ho-Sung Pak, Lung Ti, Anita Mui, "
869,Cat on a Hot Tin Roof,1958,Drama,"Elizabeth Taylor, Paul Newman, Burl Ives, Jack Carson, "
870,Short Cuts,1993,"Comedy, Drama","Andie MacDowell, Julianne Moore, Tim Robbins, Bruce Davison, "
871,In America,2002,Drama,"Paddy Considine, Samantha Morton, Djimon Hounsou, Sarah Bolger, "
872,Perfetti sconosciuti,2016,"Comedy, Drama","Giuseppe Battiston, Anna Foglietta, Marco Giallini, Edoardo Leo, "
873,From Here to Eternity,1953,"Drama, Romance, War","Burt Lancaster, Montgomery Clift, Deborah Kerr, Donna Reed, "
874,Kumonosu-jô,1957,Drama,"Toshirô Mifune, Minoru Chiaki, Isuzu Yamada, Takashi Shimura, "
875,Mimi wo sumaseba,1995,"Animation, Drama, Family","Yoko Honna, Issey Takahashi, Takashi Tachibana, Shigeru Muroi, "
876,La passion de Jeanne d'Arc,1928,"Biography, Drama, History","Maria Falconetti, Eugene Silvain, André Berley, Maurice Schutz, "
877,El cuerpo,2012,"Mystery, Thriller","Jose Coronado, Hugo Silva, Belén Rueda, Aura Garrido, "
878,Spellbound,1945,"Film-Noir, Mystery, Romance","Ingrid Bergman, Gregory Peck, Michael Chekhov, Leo G. Carroll, "
879,Bride of Frankenstein,1935,"Drama, Horror, Sci-Fi","Boris Karloff, Elsa Lanchester, Colin Clive, Valerie Hobson, "
880,Udaan,2010,Drama,"Rajat Barmecha, Sanjay Gandhi, Ronit Roy, Manjot Singh, "
881,Le samouraï,1967,"Crime, Drama, Mystery","Alain Delon, François Périer, Nathalie Delon, Cathy Rosier, "
882,Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime","Tensai Okamura, Hiroyuki Okiura, Yoshiyuki Takei, Beau Billingslea, "
883,Whale Rider,2002,"Drama, Family","Keisha Castle-Hughes, Rawiri Paratene, Vicky Haughton, Cliff Curtis, "
884,Laura,1944,"Drama, Film-Noir, Mystery","Gene Tierney, Dana Andrews, Clifton Webb, Vincent Price, "
885,Freaks,1932,"Drama, Horror","Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates, "
886,Vozvrashchenie,2003,"Drama, Mystery, Thriller","Vladimir Garin, Ivan Dobronravov, Konstantin Lavronenko, Nataliya Vdovina, "
887,Le notti di Cabiria,1957,Drama,"Giulietta Masina, François Périer, Franca Marzi, Dorian Gray, "
