,movie,year,genre,cast
204,Indiana Jones and the Temple of Doom,1984,"Action, Adventure","Harrison Ford, Kate Capshaw, Jonathan Ke Quan, Amrish Puri, "
205,Big Fish,2003,"Adventure, Drama, Fantasy","Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange, "
206,Thor: Ragnarok,2017,"Action, Adventure, Comedy","Chris Hemsworth, Tom Hiddleston, Cate Blanchett, Mark Ruffalo, "
207,Ice Age,2002,"Animation, Adventure, Comedy","Carlos Saldanha, Denis Leary, John Leguizamo, Ray Romano, "
208,Nightcrawler,2014,"Crime, Drama, Thriller","Jake Gyllenhaal, Rene Russo, Bill Paxton, Riz Ahmed, "
209,Rear Window,1954,"Mystery, Thriller","James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, "
210,The Hurt Locker,2008,"Drama, History, Thriller","Jeremy Renner, Anthony Mackie, Brian Geraghty, Guy Pearce, "
211,Dawn of the Planet of the Apes,2014,"Action, Adventure, Drama","Gary Oldman, Keri Russell, Andy Serkis, Kodi Smit-McPhee, "
212,The Help,2011,Drama,"Emma Stone, Viola Davis, Octavia Spencer, Bryce Dallas Howard, "
213,Rush,I) (2013,"Action, Biography, Drama","Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara, "
214,Mystic River,2003,"Crime, Drama, Mystery","Sean Penn, Tim Robbins, Kevin Bacon, Emmy Rossum, "
215,The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery","Daniel Craig, Rooney Mara, Christopher Plummer, Stellan Skarsgård, "
216,Captain Phillips,2013,"Biography, Drama, Thriller","Tom Hanks, Barkhad Abdi, Barkhad Abdirahman, Catherine Keener, "
217,Beauty and the Beast,1991,"Animation, Family, Fantasy","Kirk Wise, Paige O'Hara, Robby Benson, Jesse Corti, "
218,Zodiac,2007,"Crime, Drama, History","Jake Gyllenhaal, Robert Downey Jr., Mark Ruffalo, Anthony Edwards, "
